participant_id	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-0001	0.002091255	0.018510507	1	26.65445582	0.992028224	0.968122629	0.516423132	795.7382813	0.262287906	113	47.28033473	2.30608511	2.356576604	2.613316226	1.9483625	0.0423882	-0.002789285	0.030223962	239	64	64	40	3.839916582	2.5	3.3125	3.3125	4	69.33443317	6.209558964	37.23804474	23.35146332	96249	17.95397377	118.1932999	44.51334763	2.100381003	140.9464722	700.7850952	688.6568604	32940	422.4345215	1006.513785	179.3388977	33.62334061
sub-0002	0.00688325	0.007129299	0	20.9197692	1.142389326	1.037245755	0.483694227	1026.982666	0.136474802	31	12.91666667	2.324924497	2.307610566	2.656787925	2.010375	0.0263874	-0.008789138	0.028842689	240	64	64	40	4.382856588	2.5	3.3125	3.3125	4	113.3832653	5.325013638	38.63851547	22.30833435	103914	18.00833511	121.8687542	55.65532303	1.539627896	148.2786865	758.4807739	752.8417358	27101	493.7792053	1041.158447	171.7664795	56.85971832
sub-0003	0.003324708	0.007938536	0	21.38586134	1.102474565	0.994467783	0.507037633	853.3453369	0.122746546	42	17.5	2.322740016	2.362544906	2.657062642	1.9486125	0.0261443	-0.003541437	0.020155059	240	64	64	40	4.156627246	2.5	3.3125	3.3125	4	70.54462661	6.931164265	39.41277695	24.61250114	98496	19.42500114	119.6218834	44.93842697	1.747827462	148.1367035	757.37854	751.2458496	30901	464.3500366	1054.541748	180.7315521	53.47563934
sub-0004	0.002179125	0.006413669	0	18.94412563	1.05709541	0.991565125	0.522126438	830.2906494	0.108444814	22	9.166666667	2.392528129	2.366360755	2.792821132	2.0184025	0.0184769	-0.010951344	0.034739669	240	64	64	40	3.722852985	2.5	3.3125	3.3125	4	67.80633381	6.461675167	42.5883522	24.27500153	95851	19.09583473	151.3250046	58.0874176	1.584809534	163.6730804	743.8017578	736.354187	33451	419.8166809	1067.414673	197.7900238	56.76155853
sub-0005	0.000852125	0.005570848	0	21.07657981	1.070527497	0.961476898	0.511773509	772.5933838	0.114814756	9	3.75	2.296689969	2.270055849	2.649289057	1.970725	0.0321582	-0.006068358	0.03707844	240	64	64	40	4.22283012	2.5	3.3125	3.3125	4	127.5683285	6.795261383	41.01494217	23.74583435	100113	18.64166832	131.142511	53.07009888	1.385903685	133.659668	690.8599243	687.375	29832	425.9125366	959.3367218	162.7731781	58.59139252
sub-0006	0.00371175	0.007659863	0	22.95846065	1.100666255	1.03572936	0.4892411	823.4199829	0.19553763	101	42.08333333	2.360457752	2.388513208	2.738327547	1.9545325	0.050745	-0.005503843	0.031229461	240	64	64	40	3.330424244	2.5	3.3125	3.3125	4	44.94826043	7.598336697	44.51051331	24.85000038	103499	18.72500038	157.6962631	61.22929001	3.426014805	165.7950439	778.2409668	749.9250488	27508	463.2323212	1180.647778	225.1699371	48.33211517
sub-0007	0.001738083	0.007416037	0	24.24056602	1.112365655	0.985393502	0.533979189	682.723999	0.154599387	51	21.25	2.259977264	2.171033962	2.65325283	1.955645	0.049022	-0.00935121	0.049352679	240	64	64	40	4.313484066	2.5	3.3125	3.3125	4	125.0786791	7.589069843	46.75022888	24.74375153	96854	19.10416794	158.808548	70.05571747	1.780968707	129.2180481	682.2237549	675.9875488	32580	436.6954453	941.4117188	156.7125702	54.13347626
sub-0008	0.004401423	0.009488176	1	25.25462166	1.116452162	1.005469165	0.515094912	610.586853	0.230054467	136	56.90376569	2.183693176	2.160543396	2.515701132	1.874835	0.00844477	-0.00208437	0.022487212	239	64	64	40	3.899507206	2.5	3.3125	3.3125	4	87.55631439	10.26035118	44.73558044	27.37656784	99991	19.45606613	135.2615051	51.62932587	2.420137112	130.1123352	712.1292114	700.2133789	30112	433.2397385	1029.115063	179.5615997	48.28771591
sub-0009	0.00159364	0.0087303	1	25.01309202	1.014189066	0.964549411	0.510308148	678.6237183	0.273789491	145	60.66945607	2.157354465	2.088938868	2.489844528	1.89328	0.0110254	-0.010336842	0.028184744	239	64	64	40	3.756051525	2.5	3.3125	3.3125	4	135.5794073	7.357178211	42.26571274	24.6945591	100566	19.13807487	127.1893291	54.72500992	1.625875468	143.2789307	692.8887329	673.7028809	29996	438.5480957	1016.301239	179.3616638	44.84404755
sub-0010	0.002140042	0.00583332	1	19.02520159	1.098955365	1.005386893	0.554997659	704.8519897	0.063712442	1	0.418410042	2.241423066	2.153011321	2.565820377	2.0054375	0.0168289	-0.011605087	0.050616067	239	64	64	40	4.555078919	2.5	3.3125	3.3125	4	69.65518079	7.775907993	48.53235626	24.93096161	91790	18.82426643	181.5112968	67.34126282	1.946301403	121.6477661	692.1807861	684	36645	468.0460205	949.9656494	150.1600037	59.87760925
