dataset,subject_id,subject_key,missing_for,image_path,output_path,dataset_code,session_id
AABC,HCA6002236,HCA6002236,fastsurfer,,,,
AABC,HCA6003238,HCA6003238,fastsurfer,,,,
AABC,HCA6010538,HCA6010538,fastsurfer,,,,
AABC,HCA6058970,HCA6058970,fastsurfer,,,,
AABC,HCA6068670,HCA6068670,fastsurfer,,,,
AABC,HCA6086975,HCA6086975,fastsurfer,,,,
AABC,HCA6111241,HCA6111241,fastsurfer,,,,
AABC,HCA6120646,HCA6120646,fastsurfer,,,,
AABC,HCA6174770,HCA6174770,fastsurfer,,,,
AABC,HCA6178879,HCA6178879,fastsurfer,,,,
AABC,HCA6197580,HCA6197580,fastsurfer,,,,
AABC,HCA6223050,HCA6223050,fastsurfer,,,,
AABC,HCA6234964,HCA6234964,fastsurfer,,,,
AABC,HCA6244058,HCA6244058,fastsurfer,,,,
AABC,HCA6250255,HCA6250255,fastsurfer,,,,
AABC,HCA6280668,HCA6280668,fastsurfer,,,,
AABC,HCA6287177,HCA6287177,fastsurfer,,,,
AABC,HCA6312352,HCA6312352,fastsurfer,,,,
AABC,HCA6317665,HCA6317665,fastsurfer,,,,
AABC,HCA6333158,HCA6333158,fastsurfer,,,,
AABC,HCA6391879,HCA6391879,fastsurfer,,,,
AABC,HCA6393176,HCA6393176,fastsurfer,,,,
AABC,HCA6397992,HCA6397992,fastsurfer,,,,
AABC,HCA6405157,HCA6405157,fastsurfer,,,,
AABC,HCA6429272,HCA6429272,fastsurfer,,,,
AABC,HCA6489997,HCA6489997,fastsurfer,,,,
AABC,HCA6504361,HCA6504361,fastsurfer,,,,
AABC,HCA6515366,HCA6515366,fastsurfer,,,,
AABC,HCA6529074,HCA6529074,fastsurfer,,,,
AABC,HCA6531667,HCA6531667,fastsurfer,,,,
AABC,HCA6549282,HCA6549282,fastsurfer,,,,
AABC,HCA6576487,HCA6576487,fastsurfer,,,,
AABC,HCA6579089,HCA6579089,fastsurfer,,,,
AABC,HCA6582280,HCA6582280,fastsurfer,,,,
AABC,HCA6595794,HCA6595794,fastsurfer,,,,
AABC,HCA6616170,HCA6616170,fastsurfer,,,,
AABC,HCA6633069,HCA6633069,fastsurfer,,,,
AABC,HCA6633776,HCA6633776,fastsurfer,,,,
AABC,HCA6635679,HCA6635679,fastsurfer,,,,
AABC,HCA6658994,HCA6658994,fastsurfer,,,,
AABC,HCA6660880,HCA6660880,fastsurfer,,,,
AABC,HCA6671380,HCA6671380,fastsurfer,,,,
AABC,HCA6674588,HCA6674588,fastsurfer,,,,
AABC,HCA6680987,HCA6680987,fastsurfer,,,,
AABC,HCA6742377,HCA6742377,fastsurfer,,,,
AABC,HCA6746284,HCA6746284,fastsurfer,,,,
AABC,HCA6763486,HCA6763486,fastsurfer,,,,
AABC,HCA6771081,HCA6771081,fastsurfer,,,,
AABC,HCA6780082,HCA6780082,fastsurfer,,,,
AABC,HCA6782995,HCA6782995,fastsurfer,,,,
AABC,HCA6788199,HCA6788199,fastsurfer,,,,
AABC,HCA6854590,HCA6854590,fastsurfer,,,,
AABC,HCA6865696,HCA6865696,fastsurfer,,,,
AABC,HCA6910372,HCA6910372,fastsurfer,,,,
AABC,HCA6911778,HCA6911778,fastsurfer,,,,
AABC,HCA6943690,HCA6943690,fastsurfer,,,,
AABC,HCA6951487,HCA6951487,fastsurfer,,,,
AABC,HCA7024655,HCA7024655,fastsurfer,,,,
